netcdf_name,longname,units,level,standardname
m_gps_fix_y_lmc,GPS Fix Y LMC,m,,
m_gps_full_status,GPS Full Status,1,,
m_gps_heading,GPS Heading,rad,,
m_gps_ignored_lat,GPS Ignored Latitude,degrees,,
m_gps_ignored_lon,GPS Ignored Longitude,degrees,,
m_gps_invalid_lat,GPS Invalid Latitude,degrees,,
m_gps_invalid_lon,GPS Invalid Longitude,degrees,,
m_gps_lat,Measured GPS Latitude,degrees_north,,latitude
m_gps_lon,Measured GPS Longitude,degrees_east,,longitude
m_gps_mag_var,GPS Mag Var,rad,,
m_gps_num_satellites,GPS Number of Satellites,1,,
m_gps_on,GPS On,1,,
m_gps_postfix_x_lmc,GPS Postfix X Imc,m,,
m_gps_postfix_y_lmc,GPS Postfix Y Imc,m,,
m_gps_speed,GPS Speed,m s-1,,
m_gps_status,GPS Status,1,,
m_gps_toofar_lat,GPS Too Far Latitude,degrees,,
m_gps_toofar_lon,GPS Too Far Longitude,degrees,,
m_gps_uncertainty,GPS Uncertainty,1,,
m_gps_utc_day,GPS UTC Day,bytes,,
m_gps_utc_hour,GPS UTC Hour,bytes,,
m_gps_utc_minute,GPS UTC Minute,bytes,,
m_gps_utc_month,GPS UTC Month,bytes,,
m_gps_utc_second,GPS UTC Second,1,,
m_gps_utc_year,GPS UTC Year,bytes,,
m_gps_x_lmc,GPS X Lmc,m,,
m_gps_y_lmc,GPS Y Lmc,m,,
m_hdg_derror,HDG Delt Error,rad s-1,,
m_hdg_error,HDG Error,rad,,
m_hdg_ierror,HDG Integrated Error,rad-sec,,
m_hdg_rate,HDG Rate,rad s-1,,
m_heading,Measured Heading,rad,,
m_initial_water_vx,Initial Water VX,m s-1,,
m_initial_water_vy,Initial Water VY,m s-1,,
m_iridium_attempt_num,Iridium Attempt Num,1,,
m_iridium_call_num,Iridium Call Num,1,,
m_iridium_connected,Iridium Connected,1,,
m_iridium_console_on,Iridium Console On,1,,
m_iridium_dialed_num,Iridium Dialed Num,1,,
m_iridium_on,Iridium On,1,,
m_iridium_redials,Iridium Redials,1,,
m_iridium_signal_strength,Iridium Signal Strength,1,,
m_iridium_status,Iridium Status,1,,
m_iridium_waiting_redial_delay,Iridium Waiting RedialDelay,1,,
m_iridium_waiting_registration,Iridium Waiting Registration,1,,
m_is_ballast_pump_moving,Is Ballast Pump Moving,1,,
m_is_battpos_moving,Is Battpos Moving,1,,
m_is_battroll_moving,Is Battroll Moving,1,,
m_is_de_pump_moving,Is De Pump Moving,1,,
m_is_fin_moving,Is Fin Moving,1,,
m_is_fpitch_pump_moving,Is Fpitch Pump Moving,1,,
m_is_speed_estimated,Is Speed Estimated,1,,
m_is_thermal_valve_moving,Is Thermal Value Moving,1,,
m_last_yo_time,Last Yo Time,s,,
m_lat,Derived Latitude,degrees,,
m_leak,Leak,1,,
m_leak_forward,Leak Forward,1,,
m_leakdetect_voltage,Leak Detect Voltage,V,,
m_leakdetect_voltage_forward,Leak Detect Voltage Forward,V,,
m_lithium_battery_relative_charge,"Lithium Battery Relative Charge, %",percent,,
m_lithium_battery_status,Lithium Battery Status,1,,
m_lithium_battery_time_to_charge,Lithium Battery Time to Charge,min,,
m_lithium_battery_time_to_discharge,Lithium Battery Time to Discharge,min,,
m_lon,Derived Longitude,degrees,,
m_min_free_heap,Minimun Free Heap,bytes,,
m_min_spare_heap,Minimun Spare Heap,bytes,,
m_mission_avg_speed_climbing,Mission Avgerage Speed Climbing,m s-1,,
m_mission_avg_speed_diving,Mission Avgerage Speed Diving,m s-1,,
m_mission_start_time,"Mission Start Time, UTC",seconds since 1970-01-01,,
m_num_half_yos_in_segment,Number of Half YOS in Segment,1,,
m_pitch,Measured Pitch,rad,,
m_pitch_energy,Pitch Energy,J,,
m_pitch_error,Pitch Error,rad,,
m_present_secs_into_mission,Elapsed Mission Time,s,,
m_present_time,Time at the Start of the Cycle,seconds since 1970-01-01,,
m_pressure,Seawater Pressure,bar,,
m_pressure_raw_voltage_sample0,Pressure Raw Voltage Sample 0,V,,
m_pressure_raw_voltage_sample19,Pressure Raw Voltage Sample19,V,,
m_pressure_voltage,Pressure Voltage,V,,
m_raw_altitude,Raw Altitude,m,,
m_raw_altitude_rejected,Raw Altitude Rejected,1,,
m_roll,Roll,rad,,
m_science_clothesline_lag,Science Clothesline Lag,s,,
m_science_on,Science On,1,,
m_science_ready_for_consci,Clothesline Ready for Consci,1,,
m_science_sent_some_data,Science Sent Some Data,1,,
m_science_sync_time,"Science Sync Time, UTC",seconds since 1970-01-01,,
m_science_unreadiness_for_consci,Science Unreadiness for Consci,1,,
m_spare_heap,Spare Heap,bytes,,
m_speed,Measured Speed,m s-1,,
m_stable_comms,Commands Are Stable,1,,
m_strobe_ctrl,Strobe Light,1,,
m_surface_est_cmd,Commanded to Surface,1,,
m_surface_est_ctd,Ctd Pressure,1,,
m_surface_est_fw,FreewaveHas Carrier,1,,
m_surface_est_gps,GPS Talking to Satellite,1,,
m_surface_est_irid,Iridium Has Carrier,1,,
m_surface_est_total,Sum of Surface Estimate,1,,
m_system_clock_lags_gps,System Clock Lags GPS,s,,
m_tcm3_is_calibrated,Compass Calibration Status Flag,1,,
m_tcm3_magbearth,Earth's Magnetic Field,uT,,
m_tcm3_poll_time,TCM3 Poll Time,ms,,
m_tcm3_recv_start_time,TCM3 Recv Start Time,ms,,
m_tcm3_recv_stop_time,TCM3 Recv Stop Time,ms,,
m_tcm3_stddeverr,TCM3 Standard Deviation Error,uT,,
m_tcm3_xcoverage,"TCM3 X Coverage, %",percent,,
m_tcm3_ycoverage,"TCM3 Y Coverage, %",percent,,
m_tcm3_zcoverage,"TCM3 Z Coverage, %",percent,,
m_thermal_acc_pres,Thermal Acc Pressure,bar,,
m_thermal_acc_pres_voltage,Thermal Acc Pressure Voltage,V,,
m_thermal_acc_vol,Thermal Acc Volume,mL,,
m_thermal_enuf_acc_vol,Thermal Enuf Acc Volume,1,,
m_thermal_pump,Thermal Pump,1,,
m_thermal_updown,Thermal Up/Down,1,,
m_thermal_valve,Thermal Valve,1,,
m_time_til_wpt,Time Til WPT,s,,
m_tot_ballast_pumped_energy,Ballast Pumped Energy,kJ,,
m_tot_horz_dist,Horizontal DIstance,km,,
m_tot_num_inflections,Number of Inflections,1,,
m_tot_on_time,Powered on Time,d,,
m_vacuum,Vacuum,inHg,,
m_veh_overheat,Vehicle Over Heat,1,,
m_veh_temp,Veh Temperture,degrees_Celsius,,
m_vehicle_temp,Vehicle Temperature,degrees_Celsius,,
m_vmg_to_wpt,VMG to WPT,m s-1,,
m_vx_lmc,VX Lmc,m s-1,,
m_vy_lmc,VY Lmc,m s-1,,
m_water_cond,Seawater Electrical Conductivity,S m-1,,
m_water_delta_vx,Water Delta VX,m s-1,,
m_water_delta_vy,Water Delta VY,m s-1,,
m_water_depth,Seawater Depth,m,,
m_water_pressure,Seawater Pressure,bar,,
m_water_temp,Seawater Temperature,degrees_Celsius,,
m_water_vx,Seawater Velocity - X Component,m s-1,,
m_water_vy,Seawater Velocity - Y Component,m s-1,,
m_why_started,How GliderDos Started,1,,
m_x_lmc,X Lmc,m,,
m_y_lmc,Y Lmc,m,,
mag_comp_x,Normalized Magnetic X Component,1,,
mag_comp_y,Normalized Magnetic Y Component,1,,
magnesium_concentration,Magnesium Concentration,mmol/kg,,
magnetometer_sensor,Magnetometer Sensor,1,,
magnetometer_x,Magnetometer X,Gauss,,
magnetometer_y,Magnetometer Y,Gauss,,
magnetometer_z,Magnetometer Z,Gauss,,
manganese_concentration,Manganese Concentration,umol/kg,,
manual_mode,Manual Mode,1,,
manual_start_time,Manual Start Time,1,,
manufacture_date,Manufacture Date,1,,
manufacturer,Manufacturer,1,,
massp_cal_bag1_minutes,Total Time Calibration Bag 1 Has Been Used,minutes,,
massp_cal_bag2_minutes,Total Time Calibration Bag 2 Has Been Used,minutes,,
massp_cal_bag3_minutes,Total Time Calibration Bag 3 Has Been Used,minutes,,
massp_converter_12v_main,12V Main DC/DC Converter,1,,
massp_converter_12v_sec,12V Secondary DC/DC Converter,1,,
massp_converter_24v_main,24V Main DC/DC Converter,1,,
massp_converter_24v_sec,24V Secondary DC/DC Converter,1,,
massp_external_valve1_status,Status of the +24V Relay for External Valve 1,1,,
massp_external_valve2_status,Status of the +24V Relay for External Valve 2,1,,
massp_external_valve3_status,Status of the +24V Relay for External Valve 3,1,,
massp_external_valve4_status,Status of the +24V Relay for External Valve 4,1,,
massp_fan_current,Fans Combined Current,A,,
massp_ground_relay_status,Status of the Ground Relay of All External Valves,1,,
massp_heater_current,Heaters Current,A,,
massp_housing_humidity,Housing Humidity,percent,,
massp_housing_pressure,Pressure in the Housing,kPa,,
massp_inlet_temp_status,Status of the External Temperature MicroLAN,1,,
massp_inlet_temp_value,External Temperature at the Inlet,degrees_Celsius,,
massp_ion_chamber_heater1_status,Ion Chamber Heater1 Status,1,,
massp_ion_chamber_heater2_status,Ion Chamber Heater2 Status,1,,
massp_ion_chamber_heater_status,Ion Chamber Heater Settings,1,,
massp_nafion_core_temp,Nafion Core Temperature,degrees_Celsius,,
massp_nafion_elapsed_time,Nafion Regeneration Time Elapsed,seconds,,
massp_nafion_heater1_power,Nafion Heater1 Power Setting,1,,
massp_nafion_heater2_power,Nafion Heater2 Power Setting,1,,
massp_nafion_heater_status,Nafion Heater Settings,1,,
massp_ph_meter_status,Status of the pH Analog Signal,1,,
massp_ph_meter_value,pH Meter Value,1,,
massp_power_relay_aux1,AUX1 Solenoid Power Relay Status,1,,
massp_power_relay_aux2,AUX2 Solenoid Power Relay Status,1,,
massp_power_relay_fan1,Fan1 Power Relay Status,1,,
massp_power_relay_fan2,Fan2 Power Relay Status,1,,
massp_power_relay_fan3,Fan3 Power Relay Status,1,,
massp_power_relay_fan4,Fan4 Power Relay Status,1,,
massp_power_relay_heaters,Heaters Power Relay Status,1,,
massp_power_relay_main_rough,Main Roughing Pump Power Relay Status,1,,
massp_power_relay_ph,PH Meter Power Relay Status,1,,
massp_power_relay_pump,CTD SBE External Water Pump Power Relay Status,1,,
massp_power_relay_rga,RGA Power Relay Status,1,,
massp_power_relay_sec_rough,Secondary Roughing Pump Power Relay Status,1,,
massp_power_relay_turbo,Turbo Pump Power Relay Status,1,,
massp_pressure_p1,Pressure From Sensor P1,kPa,,
massp_pressure_p2,Pressure From Sensor P2,kPa,,
massp_pressure_p3,Pressure From Sensor P3,kPa,,
massp_pressure_p4,Pressure From Sensor P4,kPa,,
massp_rga_current,RGA Current,A,,
massp_rga_device_id,RGA ID String,1,,
massp_rga_electron_energy,Electron Energy,eV,,
massp_rga_error_status,Status Byte,1,,
massp_rga_filament_emission_actual,Actual Electron Emission Current,mA,,
massp_rga_filament_emission_set,Electron Emission Current,mA,,
massp_rga_final_mass,Final Mass,amu,,
massp_rga_focus_voltage,Focus Plate Voltage,V,,
massp_rga_high_voltage_cdem,High Voltage CDEM,V,,
massp_rga_initial_mass,Initial Mass,amu,,
massp_rga_ion_energy,Ion Energy,1,,
massp_rga_noise_floor,Noise Floor,1,,
massp_rga_readings_per_scan,Analog Scan Points,count,,
massp_rga_steps_per_amu,Steps Per AMU,count,,
massp_roughing_current,Roughing Pump Combined Current,A,,
massp_sample_valve1,Sampling Routing Valve 1 Status,1,,
massp_sample_valve2,Sampling Routing Valve 2 Status,1,,
massp_sample_valve3,Sampling Routing Valve 3 Status,1,,
massp_sample_valve4,Sampling Routing Valve 4 Status,1,,
massp_sbe_current,CTD SBE Pump Current,A,,
massp_scan_data,Array of Measurements Representing One Scan of the RGA,10e-16 Amps,,
massp_temp_analyzer,Temperature of the Analyzer,degrees_Celsius,,
massp_temp_ion,Temperature of the Ionisation Chamber,degrees_Celsius,,
massp_temp_main_24v,Temperature of the Main 24V DC/DC Converter,degrees_Celsius,,
massp_temp_main_control,Temperature of the Main Control Board,degrees_Celsius,,
massp_temp_main_rough,Temperature of the Main Roughing Pump,degrees_Celsius,,
massp_temp_nafion,Temperature of the Nafion Drier Thermal Insulation,degrees_Celsius,,
massp_temp_sec_24v,Temperature of the Secondary 24V DC/DC Converter,degrees_Celsius,,
massp_temp_sec_rough,Temperature of the Secondary Roughing Pump,degrees_Celsius,,
massp_turbo_bearing_temperature,Temperature of Turbopump Bearing,degrees_Celsius,,
massp_turbo_current,Turbo Pump Current,A,,
massp_turbo_drive_current,Current Used by Turbopump Motor,cA,,
massp_turbo_drive_voltage,Voltage at Turbopump Motor,cV,,
massp_turbo_motor_temperature,Temperature of Turbopump Bearing,degrees_Celsius,,
massp_turbo_rotation_speed,Rotational Speed of the Turbopump,rpm,,
massp_valve_current,Water Sample Routing Module Current,A,,
match_layer,Match Layer,1,,
max_frame_rate,Frame Rate,Hz,,
max_stack,Max Stack,1,,
max_wave_height,Maximum Wave Height,m,L0,
mean_direction,Mean Direction of Wave Field,degrees,L0,
mean_direction_array,Mean Directional Array,degrees,L0,
mean_particle_diameter,Mean Particle Diameter,um,L1,
mean_spectral_period,Mean Spectral Period,sec,,
mean_spread,Mean Spread,degrees,,
mean_wave_period,Average Wave Period,sec,L0,
measure_after_pump_pulse,Pump Pulse Post Measure,1,,
measure_to_pump_on,Measure to Pump-On,counts,,
measured_air_co2,CO2 Mole Fraction in Atmosphere,ppm,L0,
measured_water_co2,CO2 Mole Fraction in Surface Sea Water,ppm,L0,
measurement_1_dark_count_value,Measurement 1 (Scattering) Dark Count Value,counts,,
measurement_1_slope_value,Measurement 1 (Scattering) Scale Factor,m-1 sr-1 counts-1,,
measurement_2_dark_count_value,Measurement 2 (Chlorophyll) Dark Count Value,counts,,
measurement_2_slope_value,Measurement 2 (Chlorophyll) Scale Factor,ug L-1 counts-1,,
measurement_3_dark_count_value,Measurement 3 (CDOM) Dark Count Value,counts,,
measurement_3_slope_value,Measurement 3 (CDOM) Scale Factor,ppb counts-1,,
measurement_interval,Measurement Interval,s,,
measurement_wavelength_beta,"Measurement Wavelength, Scattering",nm,,
measurement_wavelength_cdom,"Measurement Wavelength, CDOM",nm,,
measurement_wavelength_chl,"Measurement Wavelength, Chlorophyll",nm,,
median_filter_range,Median Filter Range,m,,
mem_free,Available Memory,bytes,,
memory_endurance,Expected Memory Endurance,days,,
message,Message,1,,
message_sent_timestamp,Timestamp When the Message Was Sent,1,,
message_sent_type,Message Sent Type,1,,
message_text,Message Text,1,,
met_barpres,Barometric Pressure,Pa,L1,air_pressure
met_buoyfls,Sonic Buoyancy Flux,W m-2,L2,
met_buoyflx,Buoyancy Flux,W m-2,L2,
met_current_direction,Surface Current Direction,degrees,,
met_current_speed,Surface Current Speed,m s-1,,
met_frshflx,Freshwater Flux,mm hr-1,L2,
met_heatflx,Net Heat Flux,W m-2,L2,
met_heatflx_minute,Net Heat Flux,W m-2,L2,
met_latnflx,Latent Heat Flux,W m-2,L2,
met_latnflx_minute,Latent Heat Flux,W m-2,L2,
met_mommflx,Momentum Flux,N m-2,L2,
met_netlirr,Net Longwave Radiation,W m-2,L2,
met_netlirr_minute,Net Longwave Radiation,W m-2,L2,
met_netsirr,Net Shortwave Irradiance,W m-2,L2,
met_netsirr_hourly,Net Shortwave Irradiance,W m-2,L2,
met_rainflx,Rain Heat Flux,W m-2,L2,
met_rainrte,Rain Rate,mm hr-1,L2,
met_relwind_direction,Relative Wind Direction,degrees,,
met_relwind_speed,Relative Wind Speed,m s-1,,
met_salsurf,Sea Surface Practical Salinity,1E-03,L2,sea_surface_salinity
met_sensflx,Sensible Heat Flux,W m-2,L2,
met_sensflx_minute,Sensible Heat Flux,W m-2,L2,
met_spechum,Specific Humidity,g kg-1,L2,
met_sphum2m,Specific Humidity,g kg-1,L2,
met_stablty,Monin-Obukhov Stability,1,L2,
met_tempa2m,Air Temperature at 2-meters Above Sea Surface,degrees_Celsius,L2,
met_tempskn,Skin Seawater Temperature,degrees_Celsius,L2,
met_timeflx,Hourly Averaged Timestamp,seconds since 1900-01-01T00:00:00Z,,
met_wind10m,Wind Speed at 10 m Reference Height,m s-1,L2,wind_speed
met_windavg_mag_corr_east,Mean Wind Velocity - Eastward Relative to True North,m s-1,L1,eastward_wind
met_windavg_mag_corr_north,Mean Wind Velocity - Northward Relative to True North,m s-1,L1,northward_wind
meter_type,Meter Type,1,,
millisecond,Millisecond,millisecond,,
min_cond_freq,Minimum Conductivity Frequency,counts,,
minimum_flowrate,Minimum Flowrate,mL min-1,,
minute,Minute,minute,,
mission_epoch,"Mission Time, Unix / Posix Time",seconds since 1970-01-01,,
mission_time,Mission Time,milliseconds,,
mode,Mode,1,,
mode_type,Mode Type,1,,
molybdenum_concentration,Molybdenum Concentration,nmol/kg,,
month,Month,month,,
mopak_accelx,Acceleration X,g0,,
mopak_accely,Acceleration Y,g0,,
mopak_accelz,Acceleration Z,g0,,
mopak_ang_ratex,Angular Rate X,rad s-1,,
mopak_ang_ratey,Angular Rate Y,rad s-1,,
mopak_ang_ratez,Angular Rate Z,rad s-1,,
mopak_magx,Magnetometer Vector X,Gs,,
mopak_magy,Magnetometer Vector Y,Gs,,
mopak_magz,Magnetometer Vector Z,Gs,,
mopak_pitch,Pitch,degrees,,
mopak_roll,Roll,degrees,,
mopak_timer,Timer,counts,,
mopak_yaw,Yaw,degrees,,
mpt_hundredths,"MPT, 1/100 Sec",s,,
mpt_minutes,MPT Minutes,min,,
mpt_seconds,MPT Seconds,s,,
murata_12v_temp,12V Murata Temperature,degrees_Celsius,,
murata_24v_temp,24V Murata Temperature,degrees_Celsius,,
mx,Mx,1,,
n_avg_band,Number of Averaging Bands,1,,
navigation_mode,Navigation Mode,1,,
ncbi_sequence_read_archive_url,NCBI Sequence Read Archive,1,,
network_address,Network Address,1,,
network_baud_rate,Network Baud Rate,bps,,
network_mode,Enable Network Mode,1,,
nfft_samples,Nfft Samples,counts,,
nickel_concentration,Nickel Concentration,nmol/kg,,
nitrate_concentration,Dissolved Nitrate Concentration,umol L-1,L1,
nmea_lock,PPS (Pulse Per Second) Locked to GPS,1,,
no,no,yes,,no
noise_amp_beam1,Beam 1 Noise Amplitude,counts,,
noise_amp_beam2,Beam 2 Noise Amplitude,counts,,
noise_amp_beam3,Beam 3 Noise Amplitude,counts,,
noise_amplitude_beam1,"Noise Amplitude, Beam 1",counts,,
noise_amplitude_beam2,"Noise Amplitude, Beam 2",counts,,
noise_amplitude_beam3,"Noise Amplitude, Beam 3",counts,,
noise_amplitude_beam4,"Noise Amplitude, Beam 4",counts,,
noise_correlation_beam1,"Beam 1 Noise Correlation, Percentage",1,,
noise_correlation_beam2,"Beam 2 Noise Correlation, Percentage",1,,
noise_correlation_beam3,"Beam 3 Noise Correlation, Percentage",1,,
nom_depth,Nom Depth,cm,,
nominal_alkaline_battery_endurance,Expected Battery Endurance,days,,
non_zero_depth,Non-zero Depth,m,L1,
non_zero_pressure,Non-zero Pressure,dbar,L1,
north_offset_array,Buoy Displacement - Northward,m,L0,
northward_beam_seawater_velocity,Northward Seawater Velocity Profile,m s-1,L1,northward_sea_water_velocity
northward_seawater_velocity,Northward Sea Water Velocity,m s-1,L1,northward_sea_water_velocity
northward_turbulent_velocity,Northward Turbulent Point Seawater Velocity,m s-1,L1,northward_sea_water_velocity
northward_velocity,Northward Mean Point Seawater Velocity,m s-1,L1,northward_sea_water_velocity
northward_wind_velocity,Mean Wind Velocity - Northward relative to Magnetic North,m s-1,L0,
northward_wind_velocity_l1,Mean Wind Velocity - Northward Relative to True North,m s-1,L1,northward_wind
ntp_counts,NTP Message Counts,counts,,
ntp_jitter,Jitter,ms,,
ntp_offset,Offset,ms,,
ntuflo,Optical Backscatter (Red Wavelengths) Measurement,counts,L0,
num_beams,Number Beams,1,,
num_bins,Number of Bins,1,,
num_bins_out,Number Bins Out,1,,
num_blank_cycles,Num Blank Cycles,counts,,
num_bytes,Number of Bytes,1,,
num_bytes_stored,Number of Bytes Stored,bytes,,
num_cells,Number Cells,1,,
num_code_repetitions,Number of Code Repetitions,counts,,
num_data_records,Number of Data Records,1,,
num_data_types,Number of Data Types,1,,
num_dir,Number of Calculated Directions for Spectrum,counts,,
num_directional_slices,Num Directional Slices,counts,,
num_error_records,Number of Error Records,1,,
num_events,Number of Events,counts,,
num_fields,Num Fields,counts,,
num_freq,Number of Frequency Bands,counts,,
num_freq_bins,Num Freq Bins,counts,,
num_int_bins,Num Int Bins,counts,,
num_processes,Number of Processes,counts,,
num_range_bins,Num Range Bins,counts,,
num_reagent_cycles,Num Reagent Cycles,counts,,
num_samples,Number of Samples,counts,,
num_vel_bins,Num Vel Bins,counts,,
num_wavelengths,Number of Wavelengths,1,,
number_bands,Number Bands,1,,
number_beams,Number Beams,1,,
number_beams_per_cell,Number Beams Per Cell,1,,
number_blanks,Number of Blanks,counts,,
number_cells,Number Cells,1,,
number_diagnostics_per_wave,Number Diagnostics Per Wave,1,,
number_diagnostics_samples,Number Diagnostics Samples,1,,
number_directional_bands,Number Directional Bands,1,,
number_events,Number Events,1,,
number_flushes,Number of Flushes,counts,,
number_measurements,Number of Measurements,counts,,
number_measurements_per_reported_value,Number of Measurements Per Value,counts,,
number_of_beam_sequences,Number of Beam Sequences Per Burst,counts,,
number_of_beams_in_diagnostics_mode,Number of Beams in Diagnostics Mode,counts,,
number_of_packets_per_set,Number of Packets Per Set,counts,,
number_of_reported_values_per_packet,Number of Values Per Packet,counts,,
number_pings,Number of Pings,1,,
number_pings_diagnostic,Number Pings Diagnostic,1,,
number_reagent_pumps,Number of Reagent Pumps,counts,,
number_samples_averaged,Number of Samples,counts,,
number_samples_per_burst,Number Samples Per Burst,1,,
number_time_samples,Number Time Samples,1,,
number_velocity_records,Number of Velocity Records,1,,
number_zero_crossings,Number of Zero Crossings,counts,L0,
nutnr_absorbance_at_254_nm,Absorbance at 254 Nm,1,,
nutnr_absorbance_at_350_nm,Absorbance at 350 Nm,1,,
nutnr_absorbance_cutoff,Absorbance Cutoff,1,,
nutnr_acqcount,Acquisition Counter,counts,,
nutnr_activecalfile,Active Calibration File,1,,
nutnr_analog_output,Analog Output,1,,
nutnr_apf_interface,APF Interface,1,,
nutnr_apf_timeout,APF Timeout,s,,
nutnr_baseline_order,Baseline Order,1,,
nutnr_bromide_trace,Bromide Trace,mg/l,,
nutnr_bromide_tracing,Bromide Tracing,1,,
nutnr_cntcount,Continuous Counter,counts,,
nutnr_concentrations_fit,Concentrations to Fit,1,,
nutnr_countdown,Countdown,s,,
nutnr_current_main,Main Current,mA,,
nutnr_dac_nitrate_max,DAC Maximum Nitrate,umol,,
nutnr_dac_nitrate_min,DAC Minimum Nitrate,umol,,
nutnr_dark_avg,Dark Averages,1,,
nutnr_dark_coefs,Dark Coefficients,1,,
nutnr_dark_corr_method,Dark Correction Method,1,,
nutnr_dark_duration,Dark Duration,s,,
nutnr_dark_samples,Dark Samples,1,,
nutnr_dark_value_used_for_fit,Dark Value Used for Fit,1,,
nutnr_data_file_size,Data File Size,MB,,
nutnr_data_mode,Data Mode,1,,
nutnr_data_wavelength_high,Data Wavelength High,nm,,
nutnr_data_wavelength_low,Data Wavelength Low,nm,,
nutnr_davgprm0,Dark Correction 0,1,,
nutnr_davgprm1,Dark Correction 1,1,,
nutnr_davgprm2,Dark Correction 2,1,,
nutnr_davgprm3,Dark Correction 3,1,,
nutnr_electrical_bd,Electrical Bd,V,,
nutnr_electrical_c,Electrical C,mA,,
nutnr_electrical_mn,Electrical Mn,V,,
nutnr_electrical_pr,Electrical Pr,V,,
nutnr_ext_dev_during_acq,External Device During Acq.,1,,
nutnr_ext_dev_prerun_time,External Device Pre-Run Time,s,,
nutnr_ext_power_port,External Power Port,,,
nutnr_external_disk_free,External Disk Free,MB,,
nutnr_external_disk_size,External Disk Size,MB,,
nutnr_extl_dev,External Device,1,,
nutnr_fit_base_1,Fit Base 1,1,,
nutnr_fit_base_2,Fit Base 2,1,,
nutnr_fit_rmse,Fit RMSE,1,,
nutnr_fit_wavelength_high,Fit Wavelength High,nm,,
nutnr_fit_wavelength_low,Fit Wavelength Low,nm,,
nutnr_fixed_time_duration,Fixed Time Duration,s,,
nutnr_int_data_logging,Internal Data Logging,1,,
nutnr_int_time_adj,Integration Time Adjustment,1,,
nutnr_int_time_factor,Integration Time Factor,s,,
nutnr_int_time_max,Integration Time Max,s,,
nutnr_int_time_step,Integration Time Step,s,,
nutnr_integrated_wiper,Integrated Wiper,1,,
nutnr_integration_time_factor,Integration Time Factor,1,,
nutnr_internal_disk_free,Internal Disk Free,MB,,
nutnr_internal_disk_size,Internal Disk Size,MB,,
nutnr_lamp_fan,Lamp Fan,1,,
nutnr_lamp_power,Lamp Power,mW,,
nutnr_lamp_shutter,Lamp Shutter,1,,
nutnr_lamp_stability_time,Lamp Stability Time,s,,
nutnr_lamp_switchoff_temp,Lamp Switch-Off Temperature,degrees_Celsius,,
nutnr_lamp_time,Total Lamp On-Time,s,,
nutnr_light_avg,Light Averages,1,,
nutnr_light_duration,Light Duration,s,,
nutnr_light_samples,Light Samples,1,,
nutnr_log_file_type,Log File Type,1,,
nutnr_logging_dark_frame,Logging Dark Frame,1,,
nutnr_logging_frame_type,Logging Frame Type,1,,
nutnr_msg_file_size,Message File Size,MB,,
nutnr_msg_level,Message Level,1,,
nutnr_nitrogen_in_nitrate,Nitrogen in Nitrate,mg/l,,
nutnr_operating_mode,Operation Mode,1,,
nutnr_operation_ctrl,Operation Control,1,,
nutnr_output_dark_frame,Output Dark Frame,1,,
nutnr_output_frame_type,Output Frame Type,1,,
nutnr_periodic_duration,Periodic Duration,s,,
nutnr_periodic_interval,Periodic Interval,1,,
nutnr_periodic_offset,Periodic Offset,counts,,
nutnr_periodic_samples,Periodic Samples,counts,,
nutnr_polled_timeout,Polled Timeout,s,,
nutnr_psb_supervisor,PCB Supervisor,1,,
nutnr_ref_min_lamp_on,Reference Minute at Lamp-On,s,,
nutnr_reference_detector,Reference Detector,1,,
nutnr_reference_samples,Reference Samples,1,,
nutnr_relay_module,Relay Module,1,,
nutnr_salinity_fit,Salinity Fitting,1,,
nutnr_scheduling,Scheduling,1,,
nutnr_sdi12_address,SDI 12 Address,1,,
nutnr_sdi12_interface,SDI-12 Interface,1,,
nutnr_sensor_address_hous_temp,Address of Housing Temperature Sensor,1,,
nutnr_sensor_address_lamp_temp,Address of Lamp Temperature Sensor,1,,
nutnr_sensor_address_spec_temp,Address of Spectrometer Temperature Sensor,1,,
nutnr_sensor_type,Sensor Type,1,,
nutnr_sensor_version,Sensor Version,1,,
nutnr_serial_number_lamp,Lamp Serial Number,1,,
nutnr_serial_number_spec,Spectrometer Serial Number,1,,
nutnr_skip_sleep,Skip Sleep at Start,1,,
nutnr_spec_dark_av,Spectrometer Dark Average,counts,,
nutnr_spec_dark_ma,Spectrometer Dark Max,counts,,
nutnr_spec_dark_mi,Spectrometer Dark Min,counts,,
nutnr_spec_dark_sd,Spectrometer Dark Std,counts,,
nutnr_spec_integration_period,Spectrometer Integration Period,ms,,
nutnr_spec_lght_av,Spectrometer Light Average,counts,,
nutnr_spec_lght_ma,Spectrometer Light Max,counts,,
nutnr_spec_lght_mi,Spectrometer Light Min,counts,,
nutnr_spec_lght_sd,Spectrometer Light Std,counts,,
nutnr_spectral_avg_last_dark,Dark Spectral Average,1,,
nutnr_spectrum_average,Spectrum Average,1,,
nutnr_stupstus,Setup Status,1,,
nutnr_super_capacitors,Super Capacitors,1,,
nutnr_temp_comp,Temperature Compensation,1,,
nutnr_test_result,Test Result,1,,
nutnr_timeresl,Time Resolution,1,,
nutnr_usb_communication,USB Communication,1,,
nutnr_voltage_int,Internal Power Supply Voltage,V,,
nutnr_watchdog_timer,Watchdog Timer,1,,
nutnr_wiper_protector,Wiper Protector,1,,
objective_index,Objective Index,counts,,
obs,Obs,1,,
obstacle_range_critical,Obstacle Range Critical,m s-1,,
